LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 862652.0, 8893500, 1.0, 862678.0, 9492672, 146.0, 862688.0, 905570, -7985.0, 791006.0, 782682, -959.0, -1.0, 9408, 43922.0, 862713.0, 774413,
1, 1.0, 728987.0, 8398080, 1.0, 728983.0, 8957952, 575.0, 728993.0, 218214, -7985.0, 695202.0, 1089890, -3833.0, -1.0, 36864, 154175.0, 730042.0, 186637,
2, 1.0, 728987.0, 8398080, 1.0, 728983.0, 8957952, 575.0, 728993.0, 218214, -7985.0, 695202.0, 1089890, -3833.0, -1.0, 36864, 154175.0, 730042.0, 186637,
3, 1.0, 728987.0, 8398080, 1.0, 728983.0, 8957952, 575.0, 728993.0, 218214, -7985.0, 695202.0, 1089890, -3833.0, -1.0, 36864, 154175.0, 730042.0, 186637,
4, 1.0, 728987.0, 8398080, 1.0, 728983.0, 8957952, 575.0, 728993.0, 218214, -7985.0, 695202.0, 1089890, -3833.0, -1.0, 36864, 154175.0, 730042.0, 186637,
5, 1.0, 395786.0, 4515840, 1.0, 395977.0, 4866048, 575.0, 395987.0, 117512, -7985.0, 380680.0, 2072261, -7506.0, -1.0, 73728, 155375.0, 397023.0, 100365,
6, 1.0, 670299.0, 7787520, 1.0, 670297.0, 8404992, 1151.0, 670307.0, 101348, -7985.0, 640542.0, 1085666, -7985.0, 537359.0, 178132, 304573.0, 670356.0, 86541,
7, 1.0, 62198.0, 538240, 1.0, 62457.0, 581632, 63.0, 62467.0, 126108, -5111.0, -1.0, 50176, -959.0, -1.0, 8192, 22783.0, 64025.0, 107661,
8, 1.0, 670299.0, 7787520, 1.0, 670297.0, 8404992, 1151.0, 670307.0, 101348, -7985.0, 640542.0, 1085666, -7985.0, 537359.0, 178132, 304573.0, 670356.0, 86541,
9, 1.0, 670299.0, 7787520, 1.0, 670297.0, 8404992, 1151.0, 670307.0, 101348, -7985.0, 640542.0, 1085666, -7985.0, 537359.0, 178132, 304573.0, 670356.0, 86541,
10, 1.0, 379442.0, 4290048, 1.0, 379827.0, 5013504, 1151.0, 379837.0, 58574, -7985.0, 373690.0, 1943024, -7985.0, 320975.0, 356264, 313967.0, 380359.0, 50189,
11, 1.0, 530771.0, 6303744, 1.0, 530763.0, 7077888, 2303.0, 530773.0, 42792, -5111.0, -1.0, 50176, -7985.0, 448079.0, 712528, 530783.0, 533416.0, 36864,
12, 1.0, 54700.0, 547200, 1.0, 54851.0, 622592, 127.0, 54861.0, 66986, -2556.0, -1.0, 25088, -3354.0, -1.0, 32768, 39503.0, 55914.0, 57613,
13, 1.0, 530771.0, 6303744, 1.0, 530763.0, 7077888, 2303.0, 530773.0, 42792, -5111.0, -1.0, 50176, -7985.0, 448079.0, 712528, 530783.0, 533416.0, 36864,
14, 1.0, 530771.0, 6303744, 1.0, 530763.0, 7077888, 2303.0, 530773.0, 42792, -5111.0, -1.0, 50176, -7985.0, 448079.0, 712528, 530783.0, 533416.0, 36864,
15, 1.0, 429632.0, 4177152, 1.0, 430663.0, 5898240, 2303.0, 430673.0, 29898, -5111.0, -1.0, 50176, -7985.0, 420961.0, 1455732, 430679.0, 432470.0, 25088,
16, 1.0, 514128.0, 4262400, 1.0, 514135.0, 7077888, 4607.0, 514145.0, 15686, -2556.0, -1.0, 25088, -7985.0, 502177.0, 2911464, 514151.0, 515065.0, 12800,
17, 1.0, 61862.0, 606208, 1.0, 62143.0, 786432, 255.0, 62153.0, 38540, -1278.0, -1.0, 12544, -7985.0, 37039.0, 132074, 62159.0, 64499.0, 32768,
18, 1.0, 514128.0, 4262400, 1.0, 514135.0, 7077888, 4607.0, 514145.0, 15686, -2556.0, -1.0, 25088, -7985.0, 502177.0, 2911464, 514151.0, 515065.0, 12800,
19, 1.0, 514128.0, 4262400, 1.0, 514135.0, 7077888, 4607.0, 514145.0, 15686, -2556.0, -1.0, 25088, -7985.0, 502177.0, 2911464, 514151.0, 515065.0, 12800,
20, 1.0, 38568.0, 36864, 1.0, 38573.0, 512000, 522.0, 38583.0, 2872, -160.0, -1.0, 512, -7985.0, 35812.0, 512000, 38591.0, 38662.0, 1000,
